,lb,ub,coverage,estimator,n,width
0,0.1377472213259706,0.15214165601790694,False,no debiasing,319.0,0.014394434691936353
1,0.11921894549997133,0.16216994573455926,True,no folds,319.0,0.04295100023458792
2,0.13649270601760224,0.14949252054076126,False,no debiasing,319.0,0.012999814523159015
3,0.11867429539445055,0.16225096975617742,True,no folds,319.0,0.043576674361726866
4,0.1499135755783625,0.1622599022168585,True,no debiasing,319.0,0.012346326638495997
5,0.13332402102382193,0.17928947970410655,True,no folds,319.0,0.04596545868028462
6,0.13193971273226904,0.14484245948445443,False,no debiasing,319.0,0.01290274675218539
7,0.11293531217727265,0.1537139649265245,False,no folds,319.0,0.040778652749251854
8,0.14593322225746916,0.16042718172580303,True,no debiasing,319.0,0.014493959468333872
9,0.1356823415650748,0.17642666674796048,True,no folds,319.0,0.04074432518288568
10,0.13855865101928858,0.15186891961165452,False,no debiasing,319.0,0.013310268592365948
11,0.12214503716368254,0.16467920192413293,True,no folds,319.0,0.042534164760450396
12,0.17128881108647023,0.1858641157585373,False,no debiasing,319.0,0.01457530467206708
13,0.14914568868187336,0.1967133943529962,True,no folds,319.0,0.04756770567112284
14,0.1570925898957982,0.17173099659214755,False,no debiasing,319.0,0.01463840669634936
15,0.140337384018535,0.1842586194285347,True,no folds,319.0,0.043921235409999704
16,0.10597170983674213,0.11761563905412654,False,no debiasing,319.0,0.011643929217384413
17,0.08873027276694165,0.12444121656239196,False,no folds,319.0,0.03571094379545031
18,0.1269178459398677,0.1387823952966989,False,no debiasing,319.0,0.011864549356831178
19,0.10847160789602969,0.14893424099919542,False,no folds,319.0,0.040462633103165724
20,0.14533145771955058,0.15907644606040638,True,no debiasing,638.0,0.013744988340855802
21,0.13285684105589507,0.16822355994306504,True,no folds,638.0,0.03536671888716997
22,0.13971089076715856,0.1530214737893836,False,no debiasing,638.0,0.013310583022225042
23,0.12704255364248987,0.16094392364884438,True,no folds,638.0,0.033901370006354514
24,0.1483821159710163,0.16290632096088026,True,no debiasing,638.0,0.014524204989863954
25,0.13957424288503845,0.1743257457915265,True,no folds,638.0,0.03475150290648804
26,0.15301945610137116,0.16720969824571866,True,no debiasing,638.0,0.014190242144347498
27,0.14204026501105596,0.17798324329110485,True,no folds,638.0,0.03594297828004889
28,0.1504761518052014,0.16444575363159847,True,no debiasing,638.0,0.01396960182639706
29,0.13806070372898985,0.17291941878130737,True,no folds,638.0,0.034858715052317524
30,0.1455763182202027,0.15980325628601647,True,no debiasing,638.0,0.014226938065813766
31,0.14106110014847828,0.17587162823526498,True,no folds,638.0,0.034810528086786696
32,0.1494391402598608,0.16407516710586398,True,no debiasing,638.0,0.01463602684600318
33,0.1395452053050483,0.173700630700498,True,no folds,638.0,0.03415542539544969
34,0.1425330794641776,0.15564502990033902,True,no debiasing,638.0,0.013111950436161424
35,0.13051155722235253,0.16507821791948146,True,no folds,638.0,0.03456666069712894
36,0.13499785250914204,0.14941697521775205,False,no debiasing,638.0,0.01441912270861001
37,0.12139967738372975,0.1545811057384856,True,no folds,638.0,0.03318142835475585
38,0.13064053619890276,0.14433678369865632,False,no debiasing,638.0,0.013696247499753567
39,0.11612714046530305,0.14793947347797384,False,no folds,638.0,0.03181233301267079
40,0.1557256439387503,0.17027576091904986,False,no debiasing,957.0,0.014550116980299566
41,0.1442996432103719,0.17573161735684725,True,no folds,957.0,0.03143197414647536
42,0.15456923998579114,0.16927816008836777,False,no debiasing,957.0,0.014708920102576628
43,0.14426638871338152,0.17697812874182298,True,no folds,957.0,0.03271174002844146
44,0.14987602475307263,0.16480006576523473,True,no debiasing,957.0,0.014924041012162104
45,0.1421340378681097,0.1732914423153438,True,no folds,957.0,0.031157404447234083
46,0.14873501461018224,0.1630173785800511,True,no debiasing,957.0,0.014282363969868872
47,0.13743850117091158,0.16889282365036265,True,no folds,957.0,0.03145432247945107
48,0.15251893751935178,0.16726290611304376,True,no debiasing,957.0,0.01474396859369198
49,0.14688232196410853,0.17859218749369568,True,no folds,957.0,0.031709865529587156
50,0.13539124947326625,0.15115914526605978,False,no debiasing,957.0,0.01576789579279353
51,0.12786889031897622,0.15672240127155132,True,no folds,957.0,0.0288535109525751
52,0.1583898663332735,0.17245276808415366,False,no debiasing,957.0,0.014062901750880152
53,0.14620890178314547,0.17732477585558568,True,no folds,957.0,0.03111587407244021
54,0.15065529571163433,0.1651361033330564,True,no debiasing,957.0,0.014480807621422065
55,0.14309598232861598,0.17443973463704687,True,no folds,957.0,0.031343752308430894
56,0.15004511181737246,0.16505874582913704,True,no debiasing,957.0,0.015013634011764587
57,0.14541321563201723,0.17664797374324495,True,no folds,957.0,0.031234758111227723
58,0.16107298444805307,0.1757636622642676,False,no debiasing,957.0,0.014690677816214526
59,0.15083344911537666,0.18347907833282867,True,no folds,957.0,0.03264562921745201
